SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Total	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
49	3	Gulf of Finland Estonian Coastal waters	28	3	Circalittoral mud	6												6
50	3	Gulf of Finland Russian Coastal waters	1	1	Biodiversity	1		1										
50	3	Gulf of Finland Russian Coastal waters	4	2	Fish	1		1										
50	3	Gulf of Finland Russian Coastal waters	14	3	Coastal fish	1		1										
51	3	Gulf of Riga Estonian Coastal waters	1	1	Biodiversity	17		4				4						9
51	3	Gulf of Riga Estonian Coastal waters	4	2	Fish	4		4										
51	3	Gulf of Riga Estonian Coastal waters	5	2	Pelagic habitat	4						4						
51	3	Gulf of Riga Estonian Coastal waters	6	2	Benthic habitat	9												9
51	3	Gulf of Riga Estonian Coastal waters	14	3	Coastal fish	4		4										
51	3	Gulf of Riga Estonian Coastal waters	17	3	Coastal pelagic habitats	4						4						
51	3	Gulf of Riga Estonian Coastal waters	20	3	Infralittoral coarse sediment	7												7
51	3	Gulf of Riga Estonian Coastal waters	28	3	Circalittoral mud	2												2
52	3	Gulf of Riga Latvian Coastal waters	1	1	Biodiversity	20		4				8						8
52	3	Gulf of Riga Latvian Coastal waters	4	2	Fish	4		4										
52	3	Gulf of Riga Latvian Coastal waters	5	2	Pelagic habitat	8						8						
52	3	Gulf of Riga Latvian Coastal waters	6	2	Benthic habitat	8												8
52	3	Gulf of Riga Latvian Coastal waters	14	3	Coastal fish	4		4										
52	3	Gulf of Riga Latvian Coastal waters	17	3	Coastal pelagic habitats	8						8						
52	3	Gulf of Riga Latvian Coastal waters	20	3	Infralittoral coarse sediment	5												5
52	3	Gulf of Riga Latvian Coastal waters	28	3	Circalittoral mud	3												3
62	3	Bornholm Basin Swedish Coastal waters	1	1	Biodiversity	16		4				3						9
62	3	Bornholm Basin Swedish Coastal waters	4	2	Fish	4		4										
62	3	Bornholm Basin Swedish Coastal waters	5	2	Pelagic habitat	3						3						
62	3	Bornholm Basin Swedish Coastal waters	6	2	Benthic habitat	9												9
62	3	Bornholm Basin Swedish Coastal waters	14	3	Coastal fish	4		4										
62	3	Bornholm Basin Swedish Coastal waters	17	3	Coastal pelagic habitats	3						3						
62	3	Bornholm Basin Swedish Coastal waters	20	3	Infralittoral coarse sediment	6												6
62	3	Bornholm Basin Swedish Coastal waters	28	3	Circalittoral mud	3												3
63	3	Bornholm Basin Polish Coastal waters	1	1	Biodiversity	16						1						15
63	3	Bornholm Basin Polish Coastal waters	5	2	Pelagic habitat	1						1						
63	3	Bornholm Basin Polish Coastal waters	6	2	Benthic habitat	15												15
63	3	Bornholm Basin Polish Coastal waters	17	3	Coastal pelagic habitats	1						1						
63	3	Bornholm Basin Polish Coastal waters	20	3	Infralittoral coarse sediment	7												7
63	3	Bornholm Basin Polish Coastal waters	28	3	Circalittoral mud	8												8
64	3	Bornholm Basin Danish Coastal waters	1	1	Biodiversity	1						0						1
64	3	Bornholm Basin Danish Coastal waters	5	2	Pelagic habitat	0						0						
64	3	Bornholm Basin Danish Coastal waters	6	2	Benthic habitat	1												1
64	3	Bornholm Basin Danish Coastal waters	17	3	Coastal pelagic habitats	0						0						
64	3	Bornholm Basin Danish Coastal waters	28	3	Circalittoral mud	1												1
65	3	Bornholm Basin German Coastal waters	1	1	Biodiversity	25		4				6						15
65	3	Bornholm Basin German Coastal waters	4	2	Fish	4		4										
65	3	Bornholm Basin German Coastal waters	5	2	Pelagic habitat	6						6						
65	3	Bornholm Basin German Coastal waters	6	2	Benthic habitat	15												15
65	3	Bornholm Basin German Coastal waters	14	3	Coastal fish	3		3										
65	3	Bornholm Basin German Coastal waters	16	3	Demersal shelf fish	1		1										
65	3	Bornholm Basin German Coastal waters	17	3	Coastal pelagic habitats	6						6						
65	3	Bornholm Basin German Coastal waters	20	3	Infralittoral coarse sediment	10												10
65	3	Bornholm Basin German Coastal waters	28	3	Circalittoral mud	5												5
76	3	Kattegat Swedish Coastal waters	1	1	Biodiversity	18		1				6						11
76	3	Kattegat Swedish Coastal waters	4	2	Fish	1		1										
76	3	Kattegat Swedish Coastal waters	5	2	Pelagic habitat	6						6						
76	3	Kattegat Swedish Coastal waters	6	2	Benthic habitat	11												11
76	3	Kattegat Swedish Coastal waters	14	3	Coastal fish	1		1										
76	3	Kattegat Swedish Coastal waters	17	3	Coastal pelagic habitats	6						6						
76	3	Kattegat Swedish Coastal waters	20	3	Infralittoral coarse sediment	7												7
