SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Ind_count	Conf	Weight
101	4	FIN-002  - Lounainen ulkosaaristo 	80	4	Phytoplankton - Coast	2	0.75	3e-04
101	4	FIN-002  - Lounainen ulkosaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.75	2e-04
101	4	FIN-002  - Lounainen ulkosaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.75	2e-04
102	4	FIN-003  - Suomenlahden sisäsaaristo 	80	4	Phytoplankton - Coast	2	0.75	3e-04
102	4	FIN-003  - Suomenlahden sisäsaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.75	2e-04
102	4	FIN-003  - Suomenlahden sisäsaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.75	2e-04
103	4	FIN-004  - Suomenlahden ulkosaaristo 	80	4	Phytoplankton - Coast	2	0.75	6e-04
103	4	FIN-004  - Suomenlahden ulkosaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.75	3e-04
103	4	FIN-004  - Suomenlahden ulkosaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.75	3e-04
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	80	4	Phytoplankton - Coast	1	0.625	0
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	0
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	80	4	Phytoplankton - Coast	1	0.75	0
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	0
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	80	4	Phytoplankton - Coast	1	0.625	0
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	80	4	Phytoplankton - Coast	1	0.625	0
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	0
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	80	4	Phytoplankton - Coast	1	0.75	0
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	80	4	Phytoplankton - Coast	1	0.625	1e-04
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.75	0
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	80	4	Phytoplankton - Coast	2	0.6875	0
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	95	4	Macrophytes - Infralittoral coarse sediment	1	0.625	0
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	80	4	Phytoplankton - Coast	2	0.6875	0
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.625	0
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	80	4	Phytoplankton - Coast	2	0.6875	1e-04
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.6875	0
162	4	LAT-005  - Gulf of Riga transitional waters 	80	4	Phytoplankton - Coast	2	0.6875	2e-04
162	4	LAT-005  - Gulf of Riga transitional waters 	93	4	Macrofauna - Circalittoral mud	1	0.625	1e-04
162	4	LAT-005  - Gulf of Riga transitional waters 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.625	1e-04
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	80	4	Phytoplankton - Coast	1	0.625	1e-04
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	93	4	Macrofauna - Circalittoral mud	2	0.75	1e-04
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	1e-04
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	80	4	Phytoplankton - Coast	1	0.75	0
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	80	4	Phytoplankton - Coast	1	0.625	1e-04
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.75	0
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	1	0.75	1e-04
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	0.75	0
