SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Ind_count	EQR	Weight	Conf
99	4	EST-008  - Liivi lahe rannikuvesi 	93	4	Macrofauna - Circalittoral mud	1	0.638	9e-04	0.625
99	4	EST-008  - Liivi lahe rannikuvesi 	95	4	Macrophytes - Infralittoral coarse sediment	4	0.505	9e-04	0.7188
100	4	FIN-001  - Lounainen sisäsaaristo 	80	4	Phytoplankton - Coast	2	0.1316	2e-04	0.75
100	4	FIN-001  - Lounainen sisäsaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.4744	1e-04	0.75
100	4	FIN-001  - Lounainen sisäsaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.0695	1e-04	0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	80	4	Phytoplankton - Coast	2	0.3116	3e-04	0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.5265	2e-04	0.75
101	4	FIN-002  - Lounainen ulkosaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.2095	2e-04	0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	80	4	Phytoplankton - Coast	2	0.2078	3e-04	0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.4552	2e-04	0.75
102	4	FIN-003  - Suomenlahden sisäsaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.303	2e-04	0.75
103	4	FIN-004  - Suomenlahden ulkosaaristo 	80	4	Phytoplankton - Coast	2	0.2112	6e-04	0.75
103	4	FIN-004  - Suomenlahden ulkosaaristo 	93	4	Macrofauna - Circalittoral mud	1	0.3333	3e-04	0.75
103	4	FIN-004  - Suomenlahden ulkosaaristo 	95	4	Macrophytes - Infralittoral coarse sediment	3	0.3661	3e-04	0.75
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	80	4	Phytoplankton - Coast	1	0.4895	0	0.625
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	93	4	Macrofauna - Circalittoral mud	1	0.56	0	0.75
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.6517	0	0.75
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	80	4	Phytoplankton - Coast	1	0	0	0.75
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.5658	0	0.75
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	80	4	Phytoplankton - Coast	1	0	0	0.625
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	93	4	Macrofauna - Circalittoral mud	1	0.19	0	0.75
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.1579	0	0.75
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	80	4	Phytoplankton - Coast	1	0.5881	0	0.625
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	93	4	Macrofauna - Circalittoral mud	1	0.55	0	0.75
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.6854	0	0.75
