SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
48	3	Gulf of Finland Finnish Coastal waters	4	2	Fish	0.4639		0.4639										
48	3	Gulf of Finland Finnish Coastal waters	5	2	Pelagic habitat	0.2239						0.2239						
48	3	Gulf of Finland Finnish Coastal waters	6	2	Benthic habitat	0.3517												0.3517
48	3	Gulf of Finland Finnish Coastal waters	14	3	Coastal fish	0.4639		0.4639										
48	3	Gulf of Finland Finnish Coastal waters	17	3	Coastal pelagic habitats	0.2239						0.2239						
48	3	Gulf of Finland Finnish Coastal waters	20	3	Infralittoral coarse sediment	0.2843												0.2843
48	3	Gulf of Finland Finnish Coastal waters	28	3	Circalittoral mud	0.419												0.419
49	3	Gulf of Finland Estonian Coastal waters	1	1	Biodiversity	0.7036		0.8				0.5643						0.65
49	3	Gulf of Finland Estonian Coastal waters	4	2	Fish	0.8		0.8										
49	3	Gulf of Finland Estonian Coastal waters	5	2	Pelagic habitat	0.5643						0.5643						
49	3	Gulf of Finland Estonian Coastal waters	6	2	Benthic habitat	0.65												0.65
49	3	Gulf of Finland Estonian Coastal waters	14	3	Coastal fish	0.8		0.8										
49	3	Gulf of Finland Estonian Coastal waters	17	3	Coastal pelagic habitats	0.5643						0.5643						
49	3	Gulf of Finland Estonian Coastal waters	20	3	Infralittoral coarse sediment	0.6475												0.6475
49	3	Gulf of Finland Estonian Coastal waters	28	3	Circalittoral mud	0.6524												0.6524
50	3	Gulf of Finland Russian Coastal waters	1	1	Biodiversity	0.3		0.3										
50	3	Gulf of Finland Russian Coastal waters	4	2	Fish	0.3		0.3										
50	3	Gulf of Finland Russian Coastal waters	14	3	Coastal fish	0.3		0.3										
51	3	Gulf of Riga Estonian Coastal waters	1	1	Biodiversity	0.4661		0.3661				0.5628						0.5696
51	3	Gulf of Riga Estonian Coastal waters	4	2	Fish	0.3661		0.3661										
51	3	Gulf of Riga Estonian Coastal waters	5	2	Pelagic habitat	0.5628						0.5628						
51	3	Gulf of Riga Estonian Coastal waters	6	2	Benthic habitat	0.5696												0.5696
51	3	Gulf of Riga Estonian Coastal waters	14	3	Coastal fish	0.3661		0.3661										
51	3	Gulf of Riga Estonian Coastal waters	17	3	Coastal pelagic habitats	0.5628						0.5628						
51	3	Gulf of Riga Estonian Coastal waters	20	3	Infralittoral coarse sediment	0.501												0.501
51	3	Gulf of Riga Estonian Coastal waters	28	3	Circalittoral mud	0.6381												0.6381
52	3	Gulf of Riga Latvian Coastal waters	1	1	Biodiversity	0.5136		0.5375				0.4064						0.567
52	3	Gulf of Riga Latvian Coastal waters	4	2	Fish	0.5375		0.5375										
52	3	Gulf of Riga Latvian Coastal waters	5	2	Pelagic habitat	0.4064						0.4064						
52	3	Gulf of Riga Latvian Coastal waters	6	2	Benthic habitat	0.567												0.567
52	3	Gulf of Riga Latvian Coastal waters	14	3	Coastal fish	0.5375		0.5375										
52	3	Gulf of Riga Latvian Coastal waters	17	3	Coastal pelagic habitats	0.4064						0.4064						
52	3	Gulf of Riga Latvian Coastal waters	20	3	Infralittoral coarse sediment	0.5048												0.5048
52	3	Gulf of Riga Latvian Coastal waters	28	3	Circalittoral mud	0.6469												0.6469
62	3	Bornholm Basin Swedish Coastal waters	1	1	Biodiversity	0.6839		0.725				0.6335						0.652
62	3	Bornholm Basin Swedish Coastal waters	4	2	Fish	0.725		0.725										
62	3	Bornholm Basin Swedish Coastal waters	5	2	Pelagic habitat	0.6335						0.6335						
62	3	Bornholm Basin Swedish Coastal waters	6	2	Benthic habitat	0.652												0.652
62	3	Bornholm Basin Swedish Coastal waters	14	3	Coastal fish	0.725		0.725										
62	3	Bornholm Basin Swedish Coastal waters	17	3	Coastal pelagic habitats	0.6335						0.6335						
62	3	Bornholm Basin Swedish Coastal waters	20	3	Infralittoral coarse sediment	0.6277												0.6277
62	3	Bornholm Basin Swedish Coastal waters	28	3	Circalittoral mud	0.6764												0.6764
63	3	Bornholm Basin Polish Coastal waters	1	1	Biodiversity	0.3607						0.0975						0.6238
63	3	Bornholm Basin Polish Coastal waters	5	2	Pelagic habitat	0.0975						0.0975						
63	3	Bornholm Basin Polish Coastal waters	6	2	Benthic habitat	0.6238												0.6238
63	3	Bornholm Basin Polish Coastal waters	17	3	Coastal pelagic habitats	0.0975						0.0975						
63	3	Bornholm Basin Polish Coastal waters	20	3	Infralittoral coarse sediment	0.349												0.349
63	3	Bornholm Basin Polish Coastal waters	28	3	Circalittoral mud	0.8987												0.8987
64	3	Bornholm Basin Danish Coastal waters	1	1	Biodiversity	0.3625												0.725
64	3	Bornholm Basin Danish Coastal waters	5	2	Pelagic habitat													
64	3	Bornholm Basin Danish Coastal waters	6	2	Benthic habitat	0.725												0.725
64	3	Bornholm Basin Danish Coastal waters	17	3	Coastal pelagic habitats													
64	3	Bornholm Basin Danish Coastal waters	28	3	Circalittoral mud	0.725												0.725
65	3	Bornholm Basin German Coastal waters	1	1	Biodiversity	0.4056		0.5083				0.171						0.4349
65	3	Bornholm Basin German Coastal waters	4	2	Fish	0.5083		0.5083										
65	3	Bornholm Basin German Coastal waters	5	2	Pelagic habitat	0.171						0.171						
65	3	Bornholm Basin German Coastal waters	6	2	Benthic habitat	0.4349												0.4349
65	3	Bornholm Basin German Coastal waters	14	3	Coastal fish	0.5667		0.5667										
65	3	Bornholm Basin German Coastal waters	16	3	Demersal shelf fish	0.45		0.45										
65	3	Bornholm Basin German Coastal waters	17	3	Coastal pelagic habitats	0.171						0.171						
65	3	Bornholm Basin German Coastal waters	20	3	Infralittoral coarse sediment	0.5212												0.5212
65	3	Bornholm Basin German Coastal waters	28	3	Circalittoral mud	0.321												0.321
76	3	Kattegat Swedish Coastal waters	1	1	Biodiversity	0.7586		0.8				0.8334						0.6009
76	3	Kattegat Swedish Coastal waters	4	2	Fish	0.8		0.8										
76	3	Kattegat Swedish Coastal waters	5	2	Pelagic habitat	0.8334						0.8334						
76	3	Kattegat Swedish Coastal waters	6	2	Benthic habitat	0.6009												0.6009
76	3	Kattegat Swedish Coastal waters	14	3	Coastal fish	0.8		0.8										
76	3	Kattegat Swedish Coastal waters	17	3	Coastal pelagic habitats	0.8334						0.8334						
76	3	Kattegat Swedish Coastal waters	20	3	Infralittoral coarse sediment	0.6838												0.6838
76	3	Kattegat Swedish Coastal waters	28	3	Circalittoral mud	0.5179												0.5179
77	3	Kattegat Danish Coastal waters, including Limfjorden	1	1	Biodiversity	0.4192		0.5375				0						0.593
77	3	Kattegat Danish Coastal waters, including Limfjorden	4	2	Fish	0.5375		0.5375										
77	3	Kattegat Danish Coastal waters, including Limfjorden	5	2	Pelagic habitat	0						0						
77	3	Kattegat Danish Coastal waters, including Limfjorden	6	2	Benthic habitat	0.593												0.593
77	3	Kattegat Danish Coastal waters, including Limfjorden	14	3	Coastal fish	0.625		0.625										
77	3	Kattegat Danish Coastal waters, including Limfjorden	16	3	Demersal shelf fish	0.45		0.45										
77	3	Kattegat Danish Coastal waters, including Limfjorden	17	3	Coastal pelagic habitats	0						0						
77	3	Kattegat Danish Coastal waters, including Limfjorden	28	3	Circalittoral mud	0.593												0.593
78	4	DEN-001  - M1 	1	1	Biodiversity	0.2868						0						0.5735
78	4	DEN-001  - M1 	5	2	Pelagic habitat	0						0						
78	4	DEN-001  - M1 	6	2	Benthic habitat	0.5735												0.5735
78	4	DEN-001  - M1 	17	3	Coastal pelagic habitats	0						0						
78	4	DEN-001  - M1 	28	3	Circalittoral mud	0.5735												0.5735
80	4	DEN-003  - M3 	1	1	Biodiversity	0.2956												0.5912
80	4	DEN-003  - M3 	5	2	Pelagic habitat													
80	4	DEN-003  - M3 	6	2	Benthic habitat	0.5912												0.5912
80	4	DEN-003  - M3 	17	3	Coastal pelagic habitats													
80	4	DEN-003  - M3 	28	3	Circalittoral mud	0.5912												0.5912
82	4	DEN-005  - O3 	1	1	Biodiversity	0.2824												0.5647
82	4	DEN-005  - O3 	5	2	Pelagic habitat													
82	4	DEN-005  - O3 	6	2	Benthic habitat	0.5647												0.5647
82	4	DEN-005  - O3 	17	3	Coastal pelagic habitats													
82	4	DEN-005  - O3 	28	3	Circalittoral mud	0.5647												0.5647
83	4	DEN-006  - O4 	1	1	Biodiversity													
83	4	DEN-006  - O4 	5	2	Pelagic habitat													
83	4	DEN-006  - O4 	17	3	Coastal pelagic habitats													
84	4	DEN-007  - OW2 	1	1	Biodiversity	0.3312												0.6625
84	4	DEN-007  - OW2 	5	2	Pelagic habitat													
84	4	DEN-007  - OW2 	6	2	Benthic habitat	0.6625												0.6625
84	4	DEN-007  - OW2 	17	3	Coastal pelagic habitats													
84	4	DEN-007  - OW2 	28	3	Circalittoral mud	0.6625												0.6625
86	4	DEN-009  - OW3b 	1	1	Biodiversity	0.3625												0.725
86	4	DEN-009  - OW3b 	5	2	Pelagic habitat													
86	4	DEN-009  - OW3b 	6	2	Benthic habitat	0.725												0.725
86	4	DEN-009  - OW3b 	17	3	Coastal pelagic habitats													
86	4	DEN-009  - OW3b 	28	3	Circalittoral mud	0.725												0.725
87	4	DEN-010  - P1 	1	1	Biodiversity	0.1941												0.3882
87	4	DEN-010  - P1 	5	2	Pelagic habitat													
87	4	DEN-010  - P1 	6	2	Benthic habitat	0.3882												0.3882
87	4	DEN-010  - P1 	17	3	Coastal pelagic habitats													
87	4	DEN-010  - P1 	28	3	Circalittoral mud	0.3882												0.3882
89	4	DEN-012  - P3 	1	1	Biodiversity	0.2691												0.5382
89	4	DEN-012  - P3 	5	2	Pelagic habitat													
89	4	DEN-012  - P3 	6	2	Benthic habitat	0.5382												0.5382
89	4	DEN-012  - P3 	17	3	Coastal pelagic habitats													
89	4	DEN-012  - P3 	28	3	Circalittoral mud	0.5382												0.5382
90	4	DEN-013  - P4 	1	1	Biodiversity	0.2162												0.4324
90	4	DEN-013  - P4 	5	2	Pelagic habitat													
90	4	DEN-013  - P4 	6	2	Benthic habitat	0.4324												0.4324
90	4	DEN-013  - P4 	17	3	Coastal pelagic habitats													
90	4	DEN-013  - P4 	28	3	Circalittoral mud	0.4324												0.4324
91	4	DEN-014  - Slusefjord 	1	1	Biodiversity	0.6375												0.6375
91	4	DEN-014  - Slusefjord 	6	2	Benthic habitat	0.6375												0.6375
91	4	DEN-014  - Slusefjord 	28	3	Circalittoral mud	0.6375												0.6375
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	1	1	Biodiversity	0.6494						0.6308						0.6679
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	5	2	Pelagic habitat	0.6308						0.6308						
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	6	2	Benthic habitat	0.6679												0.6679
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	17	3	Coastal pelagic habitats	0.6308						0.6308						
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	20	3	Infralittoral coarse sediment	0.6627												0.6627
94	4	EST-003  - Narva-Kunda lahe rannikuvesi 	28	3	Circalittoral mud	0.6731												0.6731
95	4	EST-004  - Pärnu lahe rannikuvesi 	1	1	Biodiversity	0.5665						0.5924						0.5406
95	4	EST-004  - Pärnu lahe rannikuvesi 	5	2	Pelagic habitat	0.5924						0.5924						
95	4	EST-004  - Pärnu lahe rannikuvesi 	6	2	Benthic habitat	0.5406												0.5406
95	4	EST-004  - Pärnu lahe rannikuvesi 	17	3	Coastal pelagic habitats	0.5924						0.5924						
95	4	EST-004  - Pärnu lahe rannikuvesi 	20	3	Infralittoral coarse sediment	0.4412												0.4412
95	4	EST-004  - Pärnu lahe rannikuvesi 	28	3	Circalittoral mud	0.64												0.64
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	1	1	Biodiversity	0.5649						0.4978						0.6321
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	5	2	Pelagic habitat	0.4978						0.4978						
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	6	2	Benthic habitat	0.6321												0.6321
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	17	3	Coastal pelagic habitats	0.4978						0.4978						
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	20	3	Infralittoral coarse sediment	0.6324												0.6324
96	4	EST-005  - Muuga-Tallinna-Kakumäe lahe rannikuvesi	28	3	Circalittoral mud	0.6318												0.6318
99	4	EST-008  - Liivi lahe rannikuvesi 	1	1	Biodiversity	0.5662						0.5609						0.5715
99	4	EST-008  - Liivi lahe rannikuvesi 	5	2	Pelagic habitat	0.5609						0.5609						
99	4	EST-008  - Liivi lahe rannikuvesi 	6	2	Benthic habitat	0.5715												0.5715
99	4	EST-008  - Liivi lahe rannikuvesi 	17	3	Coastal pelagic habitats	0.5609						0.5609						
99	4	EST-008  - Liivi lahe rannikuvesi 	20	3	Infralittoral coarse sediment	0.505												0.505
99	4	EST-008  - Liivi lahe rannikuvesi 	28	3	Circalittoral mud	0.638												0.638
100	4	FIN-001  - Lounainen sisäsaaristo 	1	1	Biodiversity	0.2018						0.1316						0.2719
100	4	FIN-001  - Lounainen sisäsaaristo 	5	2	Pelagic habitat	0.1316						0.1316						
100	4	FIN-001  - Lounainen sisäsaaristo 	6	2	Benthic habitat	0.2719												0.2719
100	4	FIN-001  - Lounainen sisäsaaristo 	17	3	Coastal pelagic habitats	0.1316						0.1316						
100	4	FIN-001  - Lounainen sisäsaaristo 	20	3	Infralittoral coarse sediment	0.0695												0.0695
100	4	FIN-001  - Lounainen sisäsaaristo 	28	3	Circalittoral mud	0.4744												0.4744
101	4	FIN-002  - Lounainen ulkosaaristo 	1	1	Biodiversity	0.3398						0.3116						0.368
101	4	FIN-002  - Lounainen ulkosaaristo 	5	2	Pelagic habitat	0.3116						0.3116						
101	4	FIN-002  - Lounainen ulkosaaristo 	6	2	Benthic habitat	0.368												0.368
