SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	17	3	Coastal pelagic habitats	0.4987						0.4987						
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	20	3	Infralittoral coarse sediment	0.4414												0.4414
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	28	3	Circalittoral mud	0.64												0.64
162	4	LAT-005  - Gulf of Riga transitional waters 	1	1	Biodiversity	0.4479						0.3072						0.5886
162	4	LAT-005  - Gulf of Riga transitional waters 	5	2	Pelagic habitat	0.3072						0.3072						
162	4	LAT-005  - Gulf of Riga transitional waters 	6	2	Benthic habitat	0.5886												0.5886
162	4	LAT-005  - Gulf of Riga transitional waters 	17	3	Coastal pelagic habitats	0.3072						0.3072						
162	4	LAT-005  - Gulf of Riga transitional waters 	20	3	Infralittoral coarse sediment	0.52												0.52
162	4	LAT-005  - Gulf of Riga transitional waters 	28	3	Circalittoral mud	0.6571												0.6571
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	1	1	Biodiversity	0.4041						0.2876						0.5206
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	5	2	Pelagic habitat	0.2876						0.2876						
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	6	2	Benthic habitat	0.5206												0.5206
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	17	3	Coastal pelagic habitats	0.2876						0.2876						
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	20	3	Infralittoral coarse sediment	0.34												0.34
170	4	POL-002  - PL TW I WB 8 very sheltered, fully mixed, substratum: silt/sandy silt/silty sand: ice cover >90 days, water rwesidence time 52 days 	28	3	Circalittoral mud	0.7012												0.7012
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	1	1	Biodiversity	0.3467												0.6933
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	5	2	Pelagic habitat													
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	6	2	Benthic habitat	0.6933												0.6933
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	17	3	Coastal pelagic habitats													
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	20	3	Infralittoral coarse sediment	0.3867												0.3867
175	4	POL-007  - PL TW V WB 6 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	28	3	Circalittoral mud	1												1
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	1	1	Biodiversity	0.31												0.62
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	5	2	Pelagic habitat													
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	6	2	Benthic habitat	0.62												0.62
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	17	3	Coastal pelagic habitats													
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	20	3	Infralittoral coarse sediment	0.24												0.24
177	4	POL-009  - PL TW V WB 7 river mouth, partly stratified, partly sheltered, substratum: medium grained sand/silty sand 	28	3	Circalittoral mud	1												1
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	1	1	Biodiversity	0.3478												0.6955
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	5	2	Pelagic habitat													
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	6	2	Benthic habitat	0.6955												0.6955
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	17	3	Coastal pelagic habitats													
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	20	3	Infralittoral coarse sediment	0.3911												0.3911
181	4	POL-013  - PL CW II WB 8 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	28	3	Circalittoral mud	1												1
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	1	1	Biodiversity	0.3571												0.7143
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	5	2	Pelagic habitat													
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	6	2	Benthic habitat	0.7143												0.7143
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	17	3	Coastal pelagic habitats													
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	20	3	Infralittoral coarse sediment	0.4286												0.4286
183	4	POL-015  - PL CW II WB 6E central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	28	3	Circalittoral mud	1												1
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	1	1	Biodiversity	0.3471												0.6942
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	5	2	Pelagic habitat													
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	6	2	Benthic habitat	0.6942												0.6942
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	17	3	Coastal pelagic habitats													
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	20	3	Infralittoral coarse sediment	0.3883												0.3883
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	28	3	Circalittoral mud	1												1
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	1	1	Biodiversity	0.3389												0.6779
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	5	2	Pelagic habitat													
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	6	2	Benthic habitat	0.6779												0.6779
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	17	3	Coastal pelagic habitats													
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	20	3	Infralittoral coarse sediment	0.3557												0.3557
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	28	3	Circalittoral mud	1												1
191	4	SWE-001  - 1s West Coast inner coastal water 	1	1	Biodiversity	0.6112						0.6699						0.5524
191	4	SWE-001  - 1s West Coast inner coastal water 	5	2	Pelagic habitat	0.6699						0.6699						
191	4	SWE-001  - 1s West Coast inner coastal water 	6	2	Benthic habitat	0.5524												0.5524
191	4	SWE-001  - 1s West Coast inner coastal water 	17	3	Coastal pelagic habitats	0.6699						0.6699						
191	4	SWE-001  - 1s West Coast inner coastal water 	20	3	Infralittoral coarse sediment	0.6239												0.6239
191	4	SWE-001  - 1s West Coast inner coastal water 	28	3	Circalittoral mud	0.4809												0.4809
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	1	1	Biodiversity	0.7665						0.9273						0.6057
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	5	2	Pelagic habitat	0.9273						0.9273						
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	6	2	Benthic habitat	0.6057												0.6057
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	17	3	Coastal pelagic habitats	0.9273						0.9273						
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	20	3	Infralittoral coarse sediment	0.7113												0.7113
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	28	3	Circalittoral mud	0.5												0.5
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	1	1	Biodiversity	0.7329						0.8485						0.6172
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	5	2	Pelagic habitat	0.8485						0.8485						
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	6	2	Benthic habitat	0.6172												0.6172
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	17	3	Coastal pelagic habitats	0.8485						0.8485						
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	20	3	Infralittoral coarse sediment	0.6936												0.6936
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	28	3	Circalittoral mud	0.5409												0.5409
195	4	SWE-006  - 7 Skåne coastal water 	1	1	Biodiversity	0.6203						0.6272						0.6133
195	4	SWE-006  - 7 Skåne coastal water 	5	2	Pelagic habitat	0.6272						0.6272						
195	4	SWE-006  - 7 Skåne coastal water 	6	2	Benthic habitat	0.6133												0.6133
195	4	SWE-006  - 7 Skåne coastal water 	17	3	Coastal pelagic habitats	0.6272						0.6272						
195	4	SWE-006  - 7 Skåne coastal water 	20	3	Infralittoral coarse sediment	0.6013												0.6013
195	4	SWE-006  - 7 Skåne coastal water 	28	3	Circalittoral mud	0.6254												0.6254
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	1	1	Biodiversity	0.6429						0.6226						0.6632
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	5	2	Pelagic habitat	0.6226						0.6226						
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	6	2	Benthic habitat	0.6632												0.6632
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	17	3	Coastal pelagic habitats	0.6226						0.6226						
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	20	3	Infralittoral coarse sediment	0.6597												0.6597
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	28	3	Circalittoral mud	0.6667												0.6667
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	1	1	Biodiversity	0.6652						0.6453						0.6852
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	5	2	Pelagic habitat	0.6453						0.6453						
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	6	2	Benthic habitat	0.6852												0.6852
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	17	3	Coastal pelagic habitats	0.6453						0.6453						
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	20	3	Infralittoral coarse sediment	0.638												0.638
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	28	3	Circalittoral mud	0.7324												0.7324
214	4	SWE-025  - 25 Göta and Nordre älv estuary	1	1	Biodiversity	0.4116						0.3224						0.5007
214	4	SWE-025  - 25 Göta and Nordre älv estuary	5	2	Pelagic habitat	0.3224						0.3224						
214	4	SWE-025  - 25 Göta and Nordre älv estuary	6	2	Benthic habitat	0.5007												0.5007
214	4	SWE-025  - 25 Göta and Nordre älv estuary	17	3	Coastal pelagic habitats	0.3224						0.3224						
214	4	SWE-025  - 25 Göta and Nordre älv estuary	20	3	Infralittoral coarse sediment	0.5015												0.5015
214	4	SWE-025  - 25 Göta and Nordre älv estuary	28	3	Circalittoral mud	0.5												0.5
