SAUID;IndicatorID;'Unit';IndType;Bad;ModGood;High;ModGood2;Bad2;Obs;StdErr;ConfA;ConfT;ConfS;ConfM
131;189;'µg/l';1;35;4.8;3.2;;;5.4;;0.5;0.5;0.5;1
132;189;'µg/l';1;35;9.8;6.6;;;10.43;;0.5;1;0.5;1
133;189;'µg/l';1;50;14.3;9.6;;;71.65;;0.5;0.5;0.5;1
170;189;'ug/l';1;50;20;10;;;35.62;;0.5;0.5;0.5;1
175;189;'ug/l';1;10.3;3.8;10.3;;;7.11;;0.5;1;0.5;1
177;189;'ug/l';1;35;7.5;35;;;13.82;;0.5;0.5;0.5;1
181;189;'ug/l';1;3.9;1.9;3.9;;;4.44;;0.5;1;0.5;1
183;189;'ug/l';1;3.9;1.9;3.9;;;2.08;;0.5;0.5;0.5;1
186;189;'ug/l';1;8.3;3.15;8.3;;;7.37;;0.5;1;0.5;1
187;189;'ug/l';1;3.9;1.9;3.9;;;4.95;;0.5;0.5;0.5;1
86;127;'';1;0;0.68;1;;;0.78;;0.5;1;0.5;1
126;204;'eqr';1;0;0.6;1;;;1.30434782608696;;0.5;1;0.5;1
129;204;'eqr';1;0;0.6;1;;;3;;0.5;1;0.5;1
131;204;'eqr';1;0;0.6;1;;;1.76470588235294;;0.5;1;0.5;1
133;204;'eqr';1;0;0.6;1;;;2;;0.5;1;0.5;1
195;204;'eqr';1;0;0.6;1;;;0.72;;0.5;1;0.5;1
196;204;'eqr';1;0;0.6;1;;;0.74;;0.5;1;0.5;1
197;204;'eqr';1;0;0.6;1;;;0.76;;0.5;1;0.5;1
170;212;'mg/l';1;0;4.2;6;;;4.74;;0.5;1;0.5;1
175;212;'mg/l';1;0;4.2;6;;;7.74;;0.5;1;0.5;1
177;212;'mg/l';1;0;4.2;6;;;8.1;;0.5;1;0.5;1
181;212;'mg/l';1;0;4.2;6;;;7.71;;0.5;1;0.5;1
183;212;'mg/l';1;0;4.2;6;;;7.88;;0.5;1;0.5;1
186;212;'mg/l';1;0;4.2;6;;;7.91;;0.5;1;0.5;1
