IndID;Indicator;EcosystemComponent;EcosystemComponentID;D1C1;D1C2;D1C3;D1C4;D1C5;D1C6;D4C1;D4C2;D4C3;D4C4;D6C4;D6C5
132;Distribution pattern and extent of benthic biotopes;Infralittoral rock and biogenic reef;19;;;;;;;;;;;;1
133;Distribution pattern and extent of benthic biotopes;Infralittoral coarse sediment;20;;;;;;;;;;;;1
134;Distribution pattern and extent of benthic biotopes;Infralittoral mixed sediment;21;;;;;;;;;;;;1
135;Distribution pattern and extent of benthic biotopes;Infralittoral sand;22;;;;;;;;;;;;1
136;Distribution pattern and extent of benthic biotopes;Infralittoral mud;23;;;;;;;;;;;;1
137;Distribution pattern and extent of benthic biotopes;Circalittoral rock and biogenic reef;24;;;;;;;;;;;;1
138;Distribution pattern and extent of benthic biotopes;Circalittoral coarse sediment;25;;;;;;;;;;;;1
139;Distribution pattern and extent of benthic biotopes;Circalittoral mixed sediment;26;;;;;;;;;;;;1
140;Distribution pattern and extent of benthic biotopes;Circalittoral sand;27;;;;;;;;;;;;1
141;Distribution pattern and extent of benthic biotopes;Circalittoral mud;28;;;;;;;;;;;;1
142;Lower depth limit of macrophyte communities;Macrophytes - Infralittoral rock and biogenic reef;94;;;;;;;;;;;;1
143;Lower depth limit of macrophyte communities;Macrophytes - Infralittoral coarse sediment;95;;;;;;;;;;;;1
144;Lower depth limit of macrophyte communities;Macrophytes - Infralittoral mixed sediment;96;;;;;;;;;;;;1
145;Lower depth limit of macrophyte communities;Macrophytes - Infralittoral sand;97;;;;;;;;;;;;1
146;Lower depth limit of macrophyte communities;Macrophytes - Infralittoral mud;98;;;;;;;;;;;;1
147;Maximum length fish in the pelagic community - Salmon;Salmon;69;;;1;;;;;;;;;
148;Maximum length fish in the pelagic community - Sea trout;Sea trout;66;;;1;;;;;;;;;
149;Maximum length fish in the pelagic community - Perch;Perch;64;;;1;;;;;;;;;
150;Maximum length fish in the pelagic community - Flounder ;Flounder;75;;;1;;;;;;;;;
151;Maximum length fish in the pelagic community - Cod;Cod;72;;;1;;;;;;;;;
152;Seasonal succession of functional phytoplankton groups;Phytoplankton - Coast;80;;;;;;1;;;;;;
153;Seasonal succession of functional phytoplankton groups;Phytoplankton - Shelf;82;;;;;;1;;;;;;
154;Diatoms/ dinoflagellates index;Phytoplankton - Coast;80;;;;;;1;;;;;;
155;Diatoms/ dinoflagellates index;Phytoplankton - Shelf;82;;;;;;1;;;;;;
156;Phytoplankton community composition ;Phytoplankton - Coast;80;;;;;;1;;;;;;
157;Phytoplankton community composition ;Phytoplankton - Shelf;82;;;;;;1;;;;;;
158;Phytoplankton species assemblage clusters based on environmental factors;Phytoplankton - Coast;80;;;;;;1;;;;;;
159;Phytoplankton species assemblage clusters based on environmental factors;Phytoplankton - Shelf;82;;;;;;1;;;;;;
160;Cumulative impact on benthic biotopes;Infralittoral rock and biogenic reef;19;;;;;;;;;;;;1
161;Cumulative impact on benthic biotopes;Infralittoral coarse sediment;20;;;;;;;;;;;;1
162;Cumulative impact on benthic biotopes;Infralittoral mixed sediment;21;;;;;;;;;;;;1
163;Cumulative impact on benthic biotopes;Infralittoral sand;22;;;;;;;;;;;;1
164;Cumulative impact on benthic biotopes;Infralittoral mud;23;;;;;;;;;;;;1
165;Cumulative impact on benthic biotopes;Circalittoral rock and biogenic reef;24;;;;;;;;;;;;1
166;Cumulative impact on benthic biotopes;Circalittoral coarse sediment;25;;;;;;;;;;;;1
167;Cumulative impact on benthic biotopes;Circalittoral mixed sediment;26;;;;;;;;;;;;1
168;Cumulative impact on benthic biotopes;Circalittoral sand;27;;;;;;;;;;;;1
169;Cumulative impact on benthic biotopes;Circalittoral mud;28;;;;;;;;;;;;1
170;Biomass ratio of opportunistic and perennial macroalgae;Macrophytes - Infralittoral rock and biogenic reef;94;;;;;;;;;;;;1
171;Biomass ratio of opportunistic and perennial macroalgae;Macrophytes - Infralittoral coarse sediment;95;;;;;;;;;;;;1
172;Biomass ratio of opportunistic and perennial macroalgae;Macrophytes - Infralittoral mixed sediment;96;;;;;;;;;;;;1
173;Biomass ratio of opportunistic and perennial macroalgae;Macrophytes - Infralittoral sand;97;;;;;;;;;;;;1
